state,county,candidate,party,total_votes
Georgia,Johnson County,Jon Ossoff,DEM,1158
Georgia,Johnson County,Shane Hazel,LIB,75
Georgia,Jones County,Jon Ossoff,DEM,4687
Georgia,Jones County,Shane Hazel,LIB,301
Georgia,Lamar County,Jon Ossoff,DEM,2511
Georgia,Lamar County,Shane Hazel,LIB,197
Georgia,Lanier County,Jon Ossoff,DEM,944
Georgia,Lanier County,Shane Hazel,LIB,94
Georgia,Laurens County,Jon Ossoff,DEM,7698
Georgia,Laurens County,Shane Hazel,LIB,413
Georgia,Lee County,Jon Ossoff,DEM,4424
Georgia,Lee County,Shane Hazel,LIB,273
Georgia,Liberty County,David Perdue,REP,7743
Georgia,Liberty County,Shane Hazel,LIB,610
Georgia,Lincoln County,Jon Ossoff,DEM,1371
Georgia,Lincoln County,Shane Hazel,LIB,83
Georgia,Long County,Jon Ossoff,DEM,2029
Georgia,Long County,Shane Hazel,LIB,163
Georgia,Lowndes County,Jon Ossoff,DEM,19124
Georgia,Lowndes County,Shane Hazel,LIB,1028
Georgia,Lumpkin County,Jon Ossoff,DEM,2926
Georgia,Lumpkin County,Shane Hazel,LIB,496
Georgia,McDuffie County,Jon Ossoff,DEM,3968
Georgia,McDuffie County,Shane Hazel,LIB,204
Georgia,McIntosh County,Jon Ossoff,DEM,2498
Georgia,McIntosh County,Shane Hazel,LIB,137
Georgia,Macon County,David Perdue,REP,1787
Georgia,Macon County,Shane Hazel,LIB,79
Georgia,Madison County,Jon Ossoff,DEM,3303
Georgia,Madison County,Shane Hazel,LIB,359
Georgia,Marion County,Jon Ossoff,DEM,1267
Georgia,Marion County,Shane Hazel,LIB,84
Georgia,Meriwether County,Jon Ossoff,DEM,4135
Georgia,Meriwether County,Shane Hazel,LIB,195
Georgia,Meriwether County, Write-ins,WRI,16
Georgia,Miller County,Jon Ossoff,DEM,687
Georgia,Miller County,Shane Hazel,LIB,47
Georgia,Mitchell County,Jon Ossoff,DEM,3832
Georgia,Mitchell County,Shane Hazel,LIB,118
Georgia,Monroe County,Jon Ossoff,DEM,4205
Georgia,Monroe County,Shane Hazel,LIB,294
Georgia,Montgomery County,Jon Ossoff,DEM,931
Georgia,Montgomery County,Shane Hazel,LIB,62
Georgia,Morgan County,Jon Ossoff,DEM,3151
Georgia,Morgan County,Shane Hazel,LIB,217
Georgia,Murray County,Jon Ossoff,DEM,2296
Georgia,Murray County,Shane Hazel,LIB,362
Georgia,Muscogee County,David Perdue,REP,30226
Georgia,Muscogee County,Shane Hazel,LIB,1772
Georgia,Newton County,David Perdue,REP,23408
Georgia,Newton County,Shane Hazel,LIB,1150
Georgia,Oconee County,Jon Ossoff,DEM,7465
Georgia,Oconee County,Shane Hazel,LIB,569
Georgia,Oglethorpe County,Jon Ossoff,DEM,2323
Georgia,Oglethorpe County,Shane Hazel,LIB,234
Georgia,Paulding County,Jon Ossoff,DEM,28755
Georgia,Paulding County,Shane Hazel,LIB,2308
Georgia,Peach County,Jon Ossoff,DEM,5702
Georgia,Peach County,Shane Hazel,LIB,247
Georgia,Pickens County,Jon Ossoff,DEM,2678
Georgia,Pickens County,Shane Hazel,LIB,431
Georgia,Pierce County,Jon Ossoff,DEM,1002
Georgia,Pierce County,Shane Hazel,LIB,129
Georgia,Pike County,Jon Ossoff,DEM,1430
Georgia,Pike County,Shane Hazel,LIB,174
Georgia,Polk County,Jon Ossoff,DEM,3537
Georgia,Polk County,Shane Hazel,LIB,416
Georgia,Pulaski County,Jon Ossoff,DEM,1139
Georgia,Pulaski County,Shane Hazel,LIB,79
Georgia,Putnam County,Jon Ossoff,DEM,3299
Georgia,Putnam County,Shane Hazel,LIB,189
Georgia,Quitman County,Jon Ossoff,DEM,470
Georgia,Quitman County,Shane Hazel,LIB,15
Georgia,Quitman County, Write-ins,WRI,1
Georgia,Rabun County,Jon Ossoff,DEM,1825
Georgia,Rabun County,Shane Hazel,LIB,255
Georgia,Randolph County,David Perdue,REP,1404
Georgia,Randolph County,Shane Hazel,LIB,31
Georgia,Richmond County,David Perdue,REP,27052
Georgia,Richmond County,Shane Hazel,LIB,2130
Georgia,Rockdale County,David Perdue,REP,12716
Georgia,Rockdale County,Shane Hazel,LIB,906
Georgia,Schley County,Jon Ossoff,DEM,439
Georgia,Schley County,Shane Hazel,LIB,34
Georgia,Screven County,Jon Ossoff,DEM,2589
Georgia,Screven County,Shane Hazel,LIB,65
Georgia,Seminole County,Jon Ossoff,DEM,1187
Georgia,Seminole County,Shane Hazel,LIB,54
Georgia,Spalding County,Jon Ossoff,DEM,11355
Georgia,Spalding County,Shane Hazel,LIB,641
Georgia,Stephens County,Jon Ossoff,DEM,2187
Georgia,Stephens County,Shane Hazel,LIB,228
Georgia,Stewart County,David Perdue,REP,803
Georgia,Stewart County,Shane Hazel,LIB,35
Georgia,Sumter County,David Perdue,REP,5743
Georgia,Sumter County,Shane Hazel,LIB,165
Georgia,Talbot County,David Perdue,REP,1386
Georgia,Talbot County,Shane Hazel,LIB,51
Georgia,Taliaferro County,David Perdue,REP,366
Georgia,Taliaferro County,Shane Hazel,LIB,15
Georgia,Tattnall County,Jon Ossoff,DEM,1978
Georgia,Tattnall County,Shane Hazel,LIB,159
Georgia,Taylor County,Jon Ossoff,DEM,1312
Georgia,Taylor County,Shane Hazel,LIB,81
Georgia,Telfair County,Jon Ossoff,DEM,1435
Georgia,Telfair County,Shane Hazel,LIB,69
Georgia,Terrell County,David Perdue,REP,2040
Georgia,Terrell County,Shane Hazel,LIB,58
Georgia,Thomas County,Jon Ossoff,DEM,8158
Georgia,Thomas County,Shane Hazel,LIB,422
Georgia,Tift County,Jon Ossoff,DEM,4956
Georgia,Tift County,Shane Hazel,LIB,305
Georgia,Tift County, Write-ins,WRI,17
Georgia,Toombs County,Jon Ossoff,DEM,2832
Georgia,Toombs County,Shane Hazel,LIB,173
Georgia,Towns County,Jon Ossoff,DEM,1451
Georgia,Towns County,Shane Hazel,LIB,146
Georgia,Treutlen County,Jon Ossoff,DEM,893
Georgia,Treutlen County,Shane Hazel,LIB,52
Georgia,Troup County,Jon Ossoff,DEM,11111
Georgia,Troup County,Shane Hazel,LIB,536
Georgia,Troup County, Write-ins,WRI,0
Georgia,Turner County,Jon Ossoff,DEM,1345
Georgia,Turner County,Shane Hazel,LIB,62
Georgia,Twiggs County,Jon Ossoff,DEM,1981
Georgia,Twiggs County,Shane Hazel,LIB,87
Georgia,Union County,Jon Ossoff,DEM,2616
Georgia,Union County,Shane Hazel,LIB,339
Georgia,Upson County,Jon Ossoff,DEM,4000
Georgia,Upson County,Shane Hazel,LIB,216
Georgia,Walker County,Jon Ossoff,DEM,5435
Georgia,Walker County,Shane Hazel,LIB,883
Georgia,Walker County, Write-ins,WRI,31
Georgia,Walton County,Jon Ossoff,DEM,12146
Georgia,Walton County,Shane Hazel,LIB,1193
Georgia,Ware County,Jon Ossoff,DEM,3937
Georgia,Ware County,Shane Hazel,LIB,269
Georgia,Ware County, Write-ins,WRI,0
Georgia,Warren County,David Perdue,REP,1161
Georgia,Warren County,Shane Hazel,LIB,46
Georgia,Warren County, Write-ins,WRI,0
Georgia,Washington County,Jon Ossoff,DEM,4477
Georgia,Washington County,Shane Hazel,LIB,172
Georgia,Wayne County,Jon Ossoff,DEM,2655
Georgia,Wayne County,Shane Hazel,LIB,244
Georgia,Webster County,Jon Ossoff,DEM,626
Georgia,Webster County,Shane Hazel,LIB,10
Georgia,Wheeler County,Jon Ossoff,DEM,657
Georgia,Wheeler County,Shane Hazel,LIB,35
Georgia,Wheeler County, Write-ins,WRI,4
Georgia,White County,Jon Ossoff,DEM,2273
Georgia,White County,Shane Hazel,LIB,371
Georgia,Whitfield County,Jon Ossoff,DEM,10177
Georgia,Whitfield County,Shane Hazel,LIB,962
Georgia,Wilcox County,Jon Ossoff,DEM,805
Georgia,Wilcox County,Shane Hazel,LIB,56
Georgia,Wilcox County, Write-ins,WRI,0
Georgia,Wilkes County,Jon Ossoff,DEM,2057
Georgia,Wilkes County,Shane Hazel,LIB,78
Georgia,Wilkes County, Write-ins,WRI,6
Georgia,Wilkinson County,Jon Ossoff,DEM,2017
Georgia,Wilkinson County,Shane Hazel,LIB,79
Georgia,Wilkinson County, Write-ins,WRI,0
Georgia,Worth County,Jon Ossoff,DEM,2327
Georgia,Worth County,Shane Hazel,LIB,157
Georgia,Worth County, Write-ins,WRI,0
Idaho,Ada County,Paulette Jordan,DEM,118718
Idaho,Ada County,Natalie Fleming,IND,6940
Idaho,Ada County,Ray Writz,CST,1910
Idaho,Adams County,Paulette Jordan,DEM,625
Idaho,Adams County,Natalie Fleming,IND,62
Idaho,Adams County,Ray Writz,CST,46
Idaho,Bannock County,Paulette Jordan,DEM,15472
Idaho,Bannock County,Natalie Fleming,IND,1433
Idaho,Bannock County,Ray Writz,CST,460
Idaho,Bear Lake County,Paulette Jordan,DEM,355
Idaho,Bear Lake County,Natalie Fleming,IND,91
Idaho,Bear Lake County,Ray Writz,CST,64
Idaho,Benewah County,Paulette Jordan,DEM,1081
Idaho,Benewah County,Ray Writz,CST,105
Idaho,Benewah County,Natalie Fleming,IND,103
Idaho,Bingham County,Paulette Jordan,DEM,4313
Idaho,Bingham County,Natalie Fleming,IND,625
Idaho,Bingham County,Ray Writz,CST,253
Idaho,Blaine County,Jim Risch,REP,4225
Idaho,Blaine County,Natalie Fleming,IND,288
Idaho,Blaine County,Ray Writz,CST,54
Idaho,Boise County,Paulette Jordan,DEM,1247
Idaho,Boise County,Natalie Fleming,IND,128
Idaho,Boise County,Ray Writz,CST,93
Idaho,Bonner County,Paulette Jordan,DEM,8079
Idaho,Bonner County,Natalie Fleming,IND,601
Idaho,Bonner County,Ray Writz,CST,377
Idaho,Bonneville County,Paulette Jordan,DEM,13913
Idaho,Bonneville County,Natalie Fleming,IND,1972
Idaho,Bonneville County,Ray Writz,CST,653
Idaho,Boundary County,Paulette Jordan,DEM,1212
Idaho,Boundary County,Natalie Fleming,IND,131
Idaho,Boundary County,Ray Writz,CST,115
Idaho,Butte County,Paulette Jordan,DEM,222
Idaho,Butte County,Natalie Fleming,IND,39
Idaho,Butte County,Ray Writz,CST,29
Idaho,Camas County,Paulette Jordan,DEM,156
Idaho,Camas County,Natalie Fleming,IND,17
Idaho,Camas County,Ray Writz,CST,14
Idaho,Canyon County,Paulette Jordan,DEM,26603
Idaho,Canyon County,Natalie Fleming,IND,2550
Idaho,Canyon County,Ray Writz,CST,1384
Idaho,Caribou County,Paulette Jordan,DEM,442
Idaho,Caribou County,Natalie Fleming,IND,97
Idaho,Caribou County,Ray Writz,CST,54
Idaho,Cassia County,Paulette Jordan,DEM,1508
Idaho,Cassia County,Natalie Fleming,IND,322
Idaho,Cassia County,Ray Writz,CST,192
Idaho,Clark County,Paulette Jordan,DEM,42
Idaho,Clark County,Natalie Fleming,IND,12
Idaho,Clark County,Ray Writz,CST,3
Idaho,Clearwater County,Paulette Jordan,DEM,883
Idaho,Clearwater County,Natalie Fleming,IND,104
Idaho,Clearwater County,Ray Writz,CST,35
Idaho,Custer County,Paulette Jordan,DEM,603
Idaho,Custer County,Natalie Fleming,IND,74
Idaho,Custer County,Ray Writz,CST,53
Idaho,Elmore County,Paulette Jordan,DEM,2814
Idaho,Elmore County,Natalie Fleming,IND,317
Idaho,Elmore County,Ray Writz,CST,191
Idaho,Franklin County,Paulette Jordan,DEM,585
Idaho,Franklin County,Natalie Fleming,IND,217
Idaho,Franklin County,Ray Writz,CST,134
Idaho,Fremont County,Paulette Jordan,DEM,1001
Idaho,Fremont County,Natalie Fleming,IND,205
Idaho,Fremont County,Ray Writz,CST,109
Idaho,Gem County,Paulette Jordan,DEM,1957
Idaho,Gem County,Natalie Fleming,IND,268
Idaho,Gem County,Ray Writz,CST,141
Idaho,Gooding County,Paulette Jordan,DEM,1335
Idaho,Gooding County,Natalie Fleming,IND,186
Idaho,Gooding County,Ray Writz,CST,76
Idaho,Idaho County,Paulette Jordan,DEM,1532
Idaho,Idaho County,Natalie Fleming,IND,214
Idaho,Idaho County,Ray Writz,CST,106
Idaho,Jefferson County,Paulette Jordan,DEM,1647
Idaho,Jefferson County,Natalie Fleming,IND,481
Idaho,Jefferson County,Ray Writz,CST,236
Idaho,Jerome County,Paulette Jordan,DEM,1978
Idaho,Jerome County,Natalie Fleming,IND,249
Idaho,Jerome County,Ray Writz,CST,111
Idaho,Kootenai County,Paulette Jordan,DEM,22945
Idaho,Kootenai County,Natalie Fleming,IND,2538
Idaho,Kootenai County,Ray Writz,CST,1183
Idaho,Latah County,Jim Risch,REP,9501
Idaho,Latah County,Natalie Fleming,IND,532
Idaho,Latah County,Ray Writz,CST,187
Idaho,Lemhi County,Paulette Jordan,DEM,1020
Idaho,Lemhi County,Natalie Fleming,IND,141
Idaho,Lemhi County,Ray Writz,CST,44
Idaho,Lewis County,Paulette Jordan,DEM,357
Idaho,Lewis County,Natalie Fleming,IND,38
Idaho,Lewis County,Ray Writz,CST,33
Idaho,Lincoln County,Paulette Jordan,DEM,470
Idaho,Lincoln County,Natalie Fleming,IND,71
Idaho,Lincoln County,Ray Writz,CST,19
Idaho,Madison County,Paulette Jordan,DEM,2288
Idaho,Madison County,Natalie Fleming,IND,783
Idaho,Madison County,Ray Writz,CST,353
Idaho,Minidoka County,Paulette Jordan,DEM,1587
Idaho,Minidoka County,Natalie Fleming,IND,307
Idaho,Minidoka County,Ray Writz,CST,99
Idaho,Nez Perce County,Paulette Jordan,DEM,6510
Idaho,Nez Perce County,Natalie Fleming,IND,684
Idaho,Nez Perce County,Ray Writz,CST,155
Idaho,Oneida County,Paulette Jordan,DEM,253
Idaho,Oneida County,Natalie Fleming,IND,68
Idaho,Oneida County,Ray Writz,CST,54
Idaho,Owyhee County,Paulette Jordan,DEM,910
Idaho,Owyhee County,Natalie Fleming,IND,106
Idaho,Owyhee County,Ray Writz,CST,82
Idaho,Payette County,Paulette Jordan,DEM,2308
Idaho,Payette County,Natalie Fleming,IND,306
Idaho,Payette County,Ray Writz,CST,131
Idaho,Power County,Paulette Jordan,DEM,876
Idaho,Power County,Natalie Fleming,IND,91
Idaho,Power County,Ray Writz,CST,35
Idaho,Shoshone County,Paulette Jordan,DEM,1747
Idaho,Shoshone County,Natalie Fleming,IND,181
Idaho,Shoshone County,Ray Writz,CST,97
Idaho,Teton County,Jim Risch,REP,2837
Idaho,Teton County,Natalie Fleming,IND,180
Idaho,Teton County,Ray Writz,CST,42
Idaho,Twin Falls County,Paulette Jordan,DEM,9776
Idaho,Twin Falls County,Natalie Fleming,IND,1318
Idaho,Twin Falls County,Ray Writz,CST,591
Idaho,Valley County,Paulette Jordan,DEM,2984
Idaho,Valley County,Natalie Fleming,IND,155
Idaho,Valley County,Ray Writz,CST,35
Idaho,Washington County,Paulette Jordan,DEM,1147
Idaho,Washington County,Natalie Fleming,IND,104
Idaho,Washington County,Ray Writz,CST,50
Illinois,Adams County,Dick Durbin,DEM,8835
Illinois,Adams County,Danny Malouf,LIB,393
Illinois,Adams County,Willie Wilson,OTH,246
Illinois,Adams County,David Black,GRN,165
Illinois,Adams County, Write-ins,WRI,13
Illinois,Alexander County,Dick Durbin,DEM,1218
Illinois,Alexander County,Danny Malouf,LIB,23
Illinois,Alexander County,Willie Wilson,OTH,18
Illinois,Alexander County,David Black,GRN,7
Illinois,Alexander County, Write-ins,WRI,0
Illinois,Bond County,Dick Durbin,DEM,2714
Illinois,Bond County,Danny Malouf,LIB,154
Illinois,Bond County,David Black,GRN,64
Illinois,Bond County,Willie Wilson,OTH,61
Illinois,Bond County, Write-ins,WRI,0
Illinois,Boone County,Dick Durbin,DEM,10090
Illinois,Boone County,Danny Malouf,LIB,411
Illinois,Boone County,Willie Wilson,OTH,328
Illinois,Boone County,David Black,GRN,254
Illinois,Boone County, Write-ins,WRI,0
Illinois,Brown County,Dick Durbin,DEM,635
Illinois,Brown County,Danny Malouf,LIB,33
Illinois,Brown County,David Black,GRN,16
Illinois,Brown County,Willie Wilson,OTH,16
Illinois,Brown County, Write-ins,WRI,1
Illinois,Bureau County,Dick Durbin,DEM,7079
Illinois,Bureau County,Willie Wilson,OTH,289
Illinois,Bureau County,Danny Malouf,LIB,259
Illinois,Bureau County,David Black,GRN,127
Illinois,Bureau County, Write-ins,WRI,0
Illinois,Calhoun County,Dick Durbin,DEM,930
Illinois,Calhoun County,Danny Malouf,LIB,30
Illinois,Calhoun County,David Black,GRN,18
Illinois,Calhoun County,Willie Wilson,OTH,17
Illinois,Calhoun County, Write-ins,WRI,0
Illinois,Carroll County,Dick Durbin,DEM,2835
Illinois,Carroll County,Danny Malouf,LIB,107
Illinois,Carroll County,Willie Wilson,OTH,91
Illinois,Carroll County,David Black,GRN,41
Illinois,Carroll County, Write-ins,WRI,0
Illinois,Cass County,Dick Durbin,DEM,1862
Illinois,Cass County,Danny Malouf,LIB,47
Illinois,Cass County,David Black,GRN,34
Illinois,Cass County,Willie Wilson,OTH,28
Illinois,Cass County, Write-ins,WRI,1
Illinois,Champaign County,Mark Curran,REP,35276
Illinois,Champaign County,Danny Malouf,LIB,1547
Illinois,Champaign County,Willie Wilson,OTH,1485
Illinois,Champaign County,David Black,GRN,1243
Illinois,Champaign County, Write-ins,WRI,54
Illinois,Christian County,Dick Durbin,DEM,4874
Illinois,Christian County,Willie Wilson,OTH,228
Illinois,Christian County,Danny Malouf,LIB,219
Illinois,Christian County,David Black,GRN,136
Illinois,Christian County, Write-ins,WRI,0
Illinois,Clark County,Dick Durbin,DEM,2082
Illinois,Clark County,Danny Malouf,LIB,107
Illinois,Clark County,Willie Wilson,OTH,68
Illinois,Clark County,David Black,GRN,52
Illinois,Clark County, Write-ins,WRI,0
Illinois,Clay County,Dick Durbin,DEM,1295
Illinois,Clay County,Danny Malouf,LIB,78
Illinois,Clay County,David Black,GRN,38
Illinois,Clay County,Willie Wilson,OTH,37
Illinois,Clay County, Write-ins,WRI,7
Illinois,Clinton County,Dick Durbin,DEM,5329
Illinois,Clinton County,Danny Malouf,LIB,279
Illinois,Clinton County,Willie Wilson,OTH,114
Illinois,Clinton County,David Black,GRN,106
Illinois,Clinton County, Write-ins,WRI,11
Illinois,Coles County,Dick Durbin,DEM,8138
Illinois,Coles County,Danny Malouf,LIB,308
